text,label,language,scam_type
"Jualan saham terhad, transfer SGD 5000 segera.",1,ms,ecommerce
Aiya investment can earn SGD 5000 fast one.,1,singlish,job_scam
Standard Chartered alert: new device login attempt blocked. Confirm identity. Act now.,1,en,bank_impersonation
Crypto திட்டம் SGD 150 வாரத்திற்கு வருமானம் உத்தரவாதம். உங்கள் கணக்கு முடக்கப்படும்.,1,ta,investment
Akaun Standard Chartered awak akan dibekukan kecuali anda mengesahkan.,1,ms,bank_impersonation
"你好,,我是我,留在海外,请发送2000SGD.",1,zh,fake_friend
உங்கள் POSB மொபைல் பயன்பாடு தடுக்கப்பட்டுள்ளது. அடையாளத்தை சரிபார்க்கவும் மீட்டெடுக்க. செயல்படாதது நிரந்தரமாக மூடப்படும்.,1,ta,phishing
Urgent relief fund. SGD 200 donation needed today. Do not ignore this message.,1,en,charity
"SGD 2000 நுழைவு, உத்தரவாத வருமானம், உங்கள் விவரங்களை உறுதிப்படுத்தவும், இடையூறுகளை தவிர்க்கவும்.",1,ta,investment
"Pinjaman berlesen, pinjaman SGD 200, faedah rendah, mengesahkan butiran anda untuk mengelakkan gangguan.",1,ms,loan
"2000 SGD உடன் தொடங்கி, ஒரு அமர்வுக்கு பாசிவ் வருமானம் சம்பாதிக்கவும். உடனடியாக ஆதரவைத் தொடர்பு கொள்ளவும்.",1,ta,investment
NTUC வவுச்சர் SGD 300 கோரப்படாதது. அது காலாவதியாகும் முன் சேகரிக்கவும். உங்கள் விவரங்களை உறுதிப்படுத்தவும் இடையூறுகளை தவிர்க்க.,1,ta,prize
Unauthorised transfer on your Citibank account. Respond within 24 hours.,1,en,phishing
"அரசாங்க இணையதளத்தில் உங்கள் அடையாளத்தை சரிபார்க்கவும், நீதிமன்ற அழைப்பைத் தவிர்க்கவும், இடைவெளிகளைத் தவிர்க்க உங்கள் விவரங்களை உறுதிப்படுத்தவும்.",1,ta,government_impersonation
